Treatment,Mutant,,,,,,
WL,a,1.217105,1.317,1.17133,1.195063,1.627327,
WL,b,1.045848,,1.139041,0.943784,1.037104,1.744587
WL,c,0.863854,1.251,1.072426,1.059948,0.89313,1.816739
WL,d,1.09124,2.083,1.010004,0.980281,0.948155,1.05151
WL,e,0.973762,1.514,1.287816,1.0879,1.001649,1.061917
WL,f,1.179297,1.518,1.268353,1.221395,1.343759,1.156075
FR,a,1.312,1.058,1.196987,1.229339,1.083014,1.00037
FR,b,1.252,1.437,1.272895,1.18373,1.225943,1.095743
FR,c,1.006,2.651,1.176069,1.15945,1.248366,0.95137
FR,d,1.348,1.604,1.000215,1.03551,0.890886,1.09082
FR,e,1.259,1.499,1.018495,1.203878,1.34828,1.129071
FR,f,1.363,1.609,1.215412,1.249121,1.355966,1.359268
